#{"t_start": 1701554250.8968382, "env_id": "None"}
r,l,t
-262.0,34,0.018985
-276.0,36,0.031981
-237.0,33,0.042983
-288.0,36,0.053981
-225.0,33,0.064984
-300.0,36,0.076982
-200.0,32,0.088984
-275.0,35,0.102983
-251.0,35,0.114985
-264.0,36,0.128981
-276.0,36,0.139982
-252.0,36,0.149982
-264.0,36,0.160981
-237.0,33,0.170982
-263.0,35,0.181998
-225.0,33,0.191982
-238.0,34,0.203001
-212.0,32,0.211982
-263.0,35,0.222983
-264.0,36,0.235984
-201.0,33,0.247984
-214.0,34,0.259984
-276.0,36,0.272985
-264.0,36,0.285983
-251.0,35,0.297998
-201.0,33,0.306982
-275.0,35,0.317984
-251.0,35,0.330997
-238.0,34,0.340981
-264.0,36,0.351983
-239.0,35,0.362983
-276.0,36,0.372982
-264.0,36,0.384005
-226.0,34,0.393981
-252.0,36,0.404983
-239.0,35,0.414998
-276.0,36,0.425982
-214.0,34,0.436984
-250.0,34,0.448984
-252.0,36,0.460981
-201.0,33,0.470983
-213.0,33,0.479997
-264.0,36,0.490982
-175.0,31,0.499984
-240.0,36,0.511985
-251.0,35,0.523982
-288.0,36,0.534983
-252.0,36,0.546982
-250.0,34,0.557982
-225.0,33,0.567984
-263.0,35,0.577981
-226.0,34,0.588984
-275.0,35,0.601007
-288.0,36,0.611984
-264.0,36,0.622986
-249.0,33,0.633998
-276.0,36,0.644984
-252.0,36,0.656984
-264.0,36,0.669985
-264.0,36,0.682983
-215.0,35,0.694984
-238.0,34,0.705985
-264.0,36,0.718984
-264.0,36,0.731984
-276.0,36,0.744984
-238.0,34,0.757982
-215.0,35,0.768998
-264.0,36,0.779982
-201.0,33,0.788981
-239.0,35,0.799983
-252.0,36,0.809982
-263.0,35,0.820986
-288.0,36,0.832985
-228.0,36,0.845983
-264.0,36,0.858985
-151.0,31,0.868983
-251.0,35,0.879982
-275.0,35,0.889982
-252.0,36,0.901984
-263.0,35,0.91299
-264.0,36,0.924982
-228.0,36,0.937984
-250.0,34,0.950983
-200.0,32,0.961984
-264.0,36,0.976984
-276.0,36,0.990982
-240.0,36,1.003982
